count,Missing,Missing (%),mean,std,min,25%,50%,75%,max
248407.0,157777,38.84,55.21,21.15,0.0,42.0,59.0,71.0,118.0
68643.0,337541,83.1,73.42,26.32,0.05,58.9,71.73,87.0,382.0
406184.0,0,0.0,4.7,15.4,1.0,1.0,2.0,4.0,1777.0
406184.0,0,0.0,3.16,5.74,1.0,1.0,1.0,3.0,182.0
406184.0,0,0.0,1.0,0.02,1.0,1.0,1.0,1.0,6.0
406184.0,0,0.0,2.02,13.57,0.0,0.0,0.0,1.0,1749.0
406184.0,0,0.0,1.66,5.43,0.0,0.0,0.0,1.0,663.0
406184.0,0,0.0,0.03,1.19,0.0,0.0,0.0,0.0,345.0
406184.0,0,0.0,3.5,5.55,1.0,1.0,2.0,4.0,224.0
406184.0,0,0.0,3.5,5.55,1.0,1.0,2.0,4.0,224.0
406184.0,0,0.0,2.92,7.39,0.0,1.0,1.0,3.0,734.0
406184.0,0,0.0,1.36,1.28,0.0,1.0,1.0,1.0,38.0
406184.0,0,0.0,0.03,0.17,0.0,0.0,0.0,0.0,2.0
406184.0,0,0.0,1.46,4.55,0.0,0.0,1.0,1.0,546.0
406184.0,0,0.0,0.43,2.73,0.0,0.0,0.0,0.0,397.0
406184.0,0,0.0,31.48,226.89,0.0,0.0,0.0,0.0,3650.0
406184.0,0,0.0,30.38,226.95,0.0,0.0,0.0,0.0,3650.0
406184.0,0,0.0,26.36,214.28,0.0,0.0,0.0,0.0,3650.0
406184.0,0,0.0,39.97,270.37,0.0,0.0,0.0,0.0,3650.0
