Model,Accuracy,Precision,Recall,Specificity,F1,ROC AUC,Training Time,Prediction Time,Best K,CV Accuracy,Best Parameters,Accuracy Rank,ROC Rank,F1 Rank,CV Rank,Weighted Score,Overall Rank
Random Forest,0.9257604293610054,0.9285427628645322,0.9364558271310685,0.9128223261886628,0.9324825076966134,0.9684547929424172,,,,0.924406134262887,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",1.0,1.0,1.0,1.0,0.9999999999999999,1
Decision Tree,0.9255511651094944,0.9381713686227108,0.924965709531626,0.9262593841801764,0.9315217391304348,0.9643338679501292,,,,0.9237998788138992,"{'model__max_depth': 15, 'model__min_samples_leaf': 10}",2.0,2.0,2.0,2.0,1.9999999999999998,2
Neural Network,0.9184854192055344,0.9287704750900564,0.921795246554089,0.9144815580459144,0.925269715162732,0.962271362800146,,,,0.917799932085604,"{'model__activation': 'relu', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (50,)}",3.0,3.0,3.0,3.0,3.0,3
Logistic Regression,0.9051048167706832,0.9067714096038948,0.9213905065995098,0.8854041997606354,0.914022506496548,0.9573754082442244,3.439481258392334,0.1340649127960205,,0.0,,5.0,4.0,5.0,6.0,4.699999999999999,4
Support Vector Machine,0.9165281829708138,0.9253024011554432,0.9219526454253142,0.90996627135241,0.9236244861181506,0.9531552707338752,,,,0.9140999745692284,"{'model__C': 10, 'model__kernel': 'rbf'}",4.0,6.0,4.0,4.0,4.800000000000001,5
Linear Discriminant Analysis,0.8995777785984219,0.8977110940751287,0.9215703910237673,0.872973561092373,0.909484289011184,0.9536607109692116,6.582253217697144,0.1187741756439209,,0.0,,7.0,5.0,7.0,6.0,6.1,6
K-Nearest Neighbors,0.9050678877851226,0.9200009140141217,0.9053133361815032,0.9047709716026548,0.9125980325490728,0.9497866304258236,,,9.0,0.9026749873786594,,6.0,7.0,6.0,5.0,6.3,7
Quadratic Discriminant Analysis,0.7518372170316482,0.9569253899642924,0.5724596946461898,0.9688282015014688,0.7163679338191845,0.9245345956575854,,,,0.0,,8.0,8.0,8.0,6.0,7.799999999999999,8
Gaussian Naive Bayes,0.6851557787707572,0.9484526295804064,0.4493063206889574,0.9704602328364704,0.6097557254237805,0.905966928223646,,,,0.0,,9.0,9.0,9.0,6.0,8.7,9
